id,title,author,src
video001,Tips and Tricks- Full Narrated Robotic-Assisted Prostatectomy,AdventHealth Global Robotics Institute,http://dg1fmc8qbela5.cloudfront.net/video001.mp4
video002,2008 AUA Fagin Prostatectomy,VIP Urology,http://dg1fmc8qbela5.cloudfront.net/video002.mp4
video003,Aldo Bocciardi - Robotic Retzius Sparing Radical Prostatectomy,Fondazione Vincenzo Pansadoro,http://dg1fmc8qbela5.cloudfront.net/video003.mp4
video004,Anterior Retzius Sparing (ARS) Robot Assisted Radical Prostatectomy (RARP) - Full case in 1 hour,Alastair D Lamb,http://dg1fmc8qbela5.cloudfront.net/video004.mp4
video005,CILR 2012 - Richard Gaston - Nerve-sparing robotic-assisted laparoscopic radical prostatectomy,Fondazione Vincenzo Pansadoro,http://dg1fmc8qbela5.cloudfront.net/video005.mp4
video006,CILR 2012 - Vipul Patel - Nerve-sparing robotic-assisted laparoscopic radical prostatectomy,Fondazione Vincenzo Pansadoro,http://dg1fmc8qbela5.cloudfront.net/video006.mp4
video007,CILR 2015 - Vipul Patel - Robotic radical prostatectomy,Fondazione Vincenzo Pansadoro,http://dg1fmc8qbela5.cloudfront.net/video007.mp4
video008,Clipless Robotic Assistec Radical Prostatectomy,Victor Dubeux,http://dg1fmc8qbela5.cloudfront.net/video008.mp4
video009,Complete case of Retzius-sparing RARP (August 2019),Santis,http://dg1fmc8qbela5.cloudfront.net/video009.mp4
video010,Copy of Robotic prostatectomy Full Case Step by Step with Expert Surgeon,Naveen Kella,http://dg1fmc8qbela5.cloudfront.net/video010.mp4
video011,Declan Murphy Live Robotic Prostatectomy #WRSE24 May 2016,Declan Murphy,http://dg1fmc8qbela5.cloudfront.net/video011.mp4
video012,"Dr Boon Kua Da Vinci Robotic Prostatectomy, Brisbane, Australia",Boon Kua,http://dg1fmc8qbela5.cloudfront.net/video012.mp4
video013,Dr. Ahmed and Dr. Lovallo performing a salvage prostatectomy following prostate brachytherapy,New Jersey Center Prostate Cancer & Urology,http://dg1fmc8qbela5.cloudfront.net/video013.mp4
video014,Dr. Jim Hu - Robotic Extraperitoneal Radical Prostatectomy Surgical Video With Narration,Weill Cornell Urology,http://dg1fmc8qbela5.cloudfront.net/video014.mp4
video015,Dr. Jim Hu - Transperitoneal Robotic-Assisted Radical Prostatectomy,Weill Cornell Urology,http://dg1fmc8qbela5.cloudfront.net/video015.mp4
